"",SUID,GeneName,Betweenness,Stress,Degree,Radiality,Bridging,Centroid,Closeness,Eccentricity,EigenVector
1436,1498,MAP3K3,3676.880735,136346,455,3.199106256,5.218363687,-318,0.000276,0.333333333,0.026484
1437,1499,TRADD,717.4545114,25756,222,3.086395233,3.99340371,-544,0.000259,0.333333333,0.010051454
1438,1500,FLI1,5193.027977,204618,557,3.235352532,4.783506254,-245,0.000281,0.333333333,0.030748242
1439,1501,CSE1L,4360.677273,218798,645,3.269116187,3.707274261,-177,0.000287,0.333333333,0.044949366
1440,1502,EPHA2,1278.1601,41994,234,3.106256207,6.180377761,-505,0.000262,0.333333333,0.013251525
1441,1503,FEZ1,619.3953735,21188,141,3.068023833,7.829203287,-582,0.000257,0.333333333,0.008748617
1442,1504,TRAF1,1132.442902,37852,255,3.103277061,4.777820502,-510,0.000262,0.333333333,0.011694659
1443,1505,ORC2,3516.124305,164004,542,3.224428997,4.092843253,-267,0.00028,0.333333333,0.035695462
1444,1506,EED,3135.67842,135484,455,3.203078451,4.875699439,-310,0.000276,0.333333333,0.030846709
1445,1507,HSP90AB1,1044.931168,48694,281,3.124627607,4.340624978,-468,0.000265,0.333333333,0.018663371
1446,1508,DBF4,3271.081424,157042,593,3.22939424,3.220616226,-257,0.00028,0.5,0.037522715
1447,1509,USP1,4865.704367,232286,651,3.270109235,3.891789783,-175,0.000287,0.333333333,0.042952085
1448,1510,PRIM2,491.2479158,31604,306,3.116683217,2.275469999,-484,0.000264,0.333333333,0.022801532
1449,1511,PRDM1,2600.96647,91724,354,3.15938431,5.676404401,-398,0.00027,0.333333333,0.020536319
1450,1512,BCL2,1970.186318,79612,367,3.153922542,4.380899229,-409,0.000269,0.333333333,0.020747045
1451,1513,TGFA,2311.734468,81544,320,3.150943396,6.175194683,-415,0.000269,0.333333333,0.019649586
1452,1514,PAQR4,299.028782,12056,125,3.055114201,5.485798177,-608,0.000255,0.333333333,0.009967432
1453,1515,TCERG1,6209.251843,283680,645,3.295431976,4.768478107,-124,0.000291,0.333333333,0.04512842
1454,1516,SUPT5H,2368.768971,71914,292,3.133565045,6.636185592,-450,0.000266,0.333333333,0.015658249
1455,1517,UBXN7,1968.807753,82292,327,3.157894737,5.360695052,-401,0.00027,0.333333333,0.021304672
1456,1518,GTF2F1,1478.890832,54054,271,3.117179742,5.496688831,-483,0.000264,0.333333333,0.014987539
